Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-12-12,8:00p,Denver Nuggets,114.0,Chicago Bulls,106.0
2023-12-12,10:00p,Golden State Warriors,116.0,Phoenix Suns,119.0
2023-12-12,10:30p,Sacramento Kings,99.0,Los Angeles Clippers,119.0
2023-12-13,7:00p,Philadelphia 76ers,129.0,Detroit Pistons,111.0
2023-12-13,7:00p,New Orleans Pelicans,142.0,Washington Wizards,122.0
2023-12-13,7:30p,Charlotte Hornets,104.0,Miami Heat,115.0
2023-12-13,7:30p,Atlanta Hawks,128.0,Toronto Raptors,135.0
2023-12-13,8:00p,Memphis Grizzlies,104.0,Houston Rockets,117.0
2023-12-13,8:00p,Indiana Pacers,126.0,Milwaukee Bucks,140.0
2023-12-13,8:00p,Los Angeles Lakers,122.0,San Antonio Spurs,119.0
2023-12-13,9:00p,Brooklyn Nets,116.0,Phoenix Suns,112.0
2023-12-13,9:00p,New York Knicks,113.0,Utah Jazz,117.0
2023-12-14,7:30p,Cleveland Cavaliers,107.0,Boston Celtics,116.0
2023-12-14,7:30p,Chicago Bulls,124.0,Miami Heat,116.0
2023-12-14,8:30p,Minnesota Timberwolves,119.0,Dallas Mavericks,101.0
